Availability,Elapsed time,Response time,Transaction rate,Failed transactions,Longest transaction
100.00,59.17,0.00,3550.92,0,1.98
100.00,59.58,0.00,3566.50,0,2.44
100.00,59.53,0.00,3199.82,0,0.40
100.00,59.61,0.00,3436.45,0,0.45
100.00,59.26,0.00,3343.62,0,0.54
100.00,59.52,0.00,3372.24,0,0.67
100.00,59.56,0.00,3319.19,0,0.64
100.00,28.42,0.00,3181.49,0,3.21
100.00,59.15,0.01,2869.43,0,0.54
100.00,59.47,0.00,3289.54,0,1.32
