Transactions per second,Average response time,Maximun response time
3659.06,0.004,0.112
3671.94,0.004,0.548
3673.51,0.004,0.538
3448.39,0.004,0.146
3381.59,0.004,0.191
3363.69,0.004,0.333
3360.36,0.004,0.439
3381.98,0.004,0.134
3205.26,0.005,0.127
3293.85,0.004,0.663
