Availability,Elapsed time,Response time,Transaction rate,Failed transactions,Longest transaction
100.00,59.54,0.01,2150.71,0,0.07
100.00,59.49,0.01,2076.01,0,0.06
100.00,59.53,0.01,1973.85,0,0.08
100.00,59.25,0.01,1920.98,0,0.13
100.00,59.44,0.01,2081.31,0,0.14
100.00,59.38,0.01,2074.64,0,0.07
100.00,59.35,0.01,2764.09,0,0.05
100.00,59.47,0.01,2655.62,0,0.08
100.00,59.47,0.00,3289.34,0,0.03
100.00,59.49,0.00,3263.14,0,0.04
