Time taken for tests,Failed requests,Requests per second,Time per request
0.486,0,2058.16,7.288
0.379,0,2636.57,5.689
0.427,0,2340.14,6.410
0.337,0,2968.96,5.052
0.557,0,1795.58,8.354
0.445,0,2248.22,6.672
0.395,0,2532.97,5.922
0.524,0,1909.36,7.856
0.361,0,2773.83,5.408
0.461,0,2169.44,6.914
