Transactions per second,Average response time,Maximun response time
336.12,0.044,0.095
334.68,0.044,0.097
336.78,0.044,0.087
334.79,0.044,0.096
337.02,0.044,0.116
328.08,0.045,0.110
341.52,0.043,0.098
345.96,0.043,0.075
345.05,0.043,0.080
341.04,0.043,0.075
