Time taken for tests,Failed requests,Requests per second,Time per request
0.394,0,2535.95,5.915
0.411,0,2433.63,6.164
0.391,0,2559.88,5.860
0.653,0,1531.07,9.797
0.439,0,2277.29,6.587
0.547,0,1826.76,8.211
0.585,0,1710.69,8.768
0.379,0,2641.51,5.679
0.380,0,2633.71,5.695
0.367,0,2726.05,5.502
